state,year,total
AK,2008,134206.79
AK,2009,144303.86000000002
AK,2010,137213.68
AK,2011,155552.25
AK,2012,173407.88
AK,2013,183031.77
AK,2014,205120.33
AK,2015,205426.98
AK,2016,198613.46
AK,2017,191843.38
AK,2018,193581.32
AK,2019,180538.6
AL,2008,NA
AL,2009,NA
AL,2010,NA
AL,2011,2469.02
AL,2012,8985.74
AL,2013,18512.72
AL,2014,23497.47
AL,2015,28118.22
AL,2016,45634.47
AL,2017,49729.58
AL,2018,65833.66
AL,2019,71512.81
AR,2008,3417.91
AR,2009,3630.55
AR,2010,4095.84
AR,2011,3651.21
AR,2012,1399.87
AR,2013,1644.35
AR,2014,4244.6900000000005
AR,2015,9447.32
AR,2016,16887.29
AR,2017,26989.32
AR,2018,28442.53
AR,2019,30561.699999999997
AZ,2008,40474.659999999996
AZ,2009,41327.14
AZ,2010,51591.020000000004
AZ,2011,66804.31
AZ,2012,82369.93
AZ,2013,100156.21
AZ,2014,127032.11
AZ,2015,148899.89
AZ,2016,172509.43
AZ,2017,182377.82
AZ,2018,175763.14
AZ,2019,352096.64
CA,2008,22149408.23
CA,2009,21578008.66
CA,2010,21352469.75
CA,2011,20435612.900000002
CA,2012,21277284.93
CA,2013,20288089.759999998
CA,2014,20447937.47
CA,2015,20047254.13
CA,2016,19936208.599999998
CA,2017,19177049.14
CA,2018,18536648.88
CA,2019,17872597.37
CO,2008,26795857.25
CO,2009,23430824.16
CO,2010,21072663.560000002
CO,2011,21158332.57
CO,2012,21616668.84
CO,2013,20786350.24
CO,2014,20316240.1
CO,2015,19960257.58
CO,2016,20144881.92
CO,2017,19688220.099999998
CO,2018,18232502.25
CO,2019,19097585.18
CT,2008,8043.24
CT,2009,10699.41
CT,2010,13634.269999999999
CT,2011,16143.130000000001
CT,2012,15098.05
CT,2013,43805.990000000005
CT,2014,86225.33
CT,2015,131654.5
CT,2016,143886.93
CT,2017,238497.47
CT,2018,194099.75
CT,2019,194298.43
DC,2008,NA
DC,2009,NA
DC,2010,NA
DC,2011,3374.9300000000003
DC,2012,7558.049999999999
DC,2013,11731.460000000001
DC,2014,17105.829999999998
DC,2015,25354.77
DC,2016,28119.94
DC,2017,31359.82
DC,2018,30508.91
DC,2019,29897.03
DE,2008,85091.87
DE,2009,113509.11
DE,2010,140179.80000000002
DE,2011,170173.57
DE,2012,197736.4
DE,2013,226654.40000000002
DE,2014,252615.88
DE,2015,265838.77999999997
DE,2016,260003.63
DE,2017,298212.93
DE,2018,298948.94
DE,2019,299007.10000000003
FL,2008,9497348.84
FL,2009,10332508.879999999
FL,2010,10487167.709999999
FL,2011,10675121.450000001
FL,2012,11034291.18
FL,2013,10788489.819999998
FL,2014,10687665.969999999
FL,2015,11126546.52
FL,2016,11303374.68
FL,2017,11051249.34
FL,2018,11295225.459999999
FL,2019,10373197.65
GA,2008,14876026.67
GA,2009,15691960.09
GA,2010,14844298.45
GA,2011,15187089.67
GA,2012,15485214.08
GA,2013,15231622.61
GA,2014,14423428.43
GA,2015,13351092.85
GA,2016,14032773.03
GA,2017,13992077.129999999
GA,2018,14178395.459999999
GA,2019,13411106.809999999
HI,2008,18279.07
HI,2009,20026.54
HI,2010,24687.57
HI,2011,34176.87
HI,2012,34825.98
HI,2013,33288.65
HI,2014,36002.39
HI,2015,47199.33
HI,2016,58366.04
HI,2017,70765.95999999999
HI,2018,81317.65
HI,2019,82098.42
IA,2008,10882.43
IA,2009,11836.17
IA,2010,14195.45
IA,2011,17306.71
IA,2012,19397.32
IA,2013,24766.89
IA,2014,35216.39
IA,2015,40074.26
IA,2016,41978.86
IA,2017,66536.31
IA,2018,94473.26000000001
IA,2019,109674.71
ID,2008,14375.57
ID,2009,14759.119999999999
ID,2010,17067.46
ID,2011,19462.87
ID,2012,25806.18
ID,2013,31063.39
ID,2014,36770.21
ID,2015,45931.74
ID,2016,39531.68
ID,2017,43299.05
ID,2018,42742.880000000005
ID,2019,43884.89
IL,2008,793396.36
IL,2009,984684.4299999999
IL,2010,1018338.45
IL,2011,997488.49
IL,2012,870670.8300000001
IL,2013,1038729.59
IL,2014,1183623.97
IL,2015,1437772.58
IL,2016,1597355.13
IL,2017,1461407.4000000001
IL,2018,1563136.96
IL,2019,1544499.45
IN,2008,27505.18
IN,2009,33638.729999999996
IN,2010,47370.28
IN,2011,66918.53
IN,2012,94651.3
IN,2013,112379.85999999999
IN,2014,131175.53
IN,2015,154734.77000000002
IN,2016,172603.47
IN,2017,178962.82
IN,2018,173374.49
IN,2019,166496.71
KS,2008,9657.23
KS,2009,10697.21
KS,2010,15574.64
KS,2011,22964.38
KS,2012,22127.53
KS,2013,24768.37
KS,2014,30732.47
KS,2015,33716.51
KS,2016,35750.88
KS,2017,37922.7
KS,2018,25478.98
KS,2019,28877.72
KY,2008,86750.81
KY,2009,87911.83
KY,2010,81894.25
KY,2011,72621.24
KY,2012,87285.47
KY,2013,104317.10999999999
KY,2014,117144
KY,2015,137731.49
KY,2016,144009.97
KY,2017,174774.48
KY,2018,185984.98
KY,2019,194102.69999999998
LA,2008,82888.25
LA,2009,94827.22
LA,2010,116933.95
LA,2011,136121.43
LA,2012,156162.25
LA,2013,166118.6
LA,2014,180407.99
LA,2015,188208.42
LA,2016,175596
LA,2017,172781.44
LA,2018,170613.08
LA,2019,172243.39
MA,2008,141228.3
MA,2009,160403.23
MA,2010,182705.99
MA,2011,221097.91
MA,2012,249439.08000000002
MA,2013,266433.94
MA,2014,272516.74
MA,2015,308775.58999999997
MA,2016,386392.59
MA,2017,480036.93
MA,2018,445576.11000000004
MA,2019,453648.13
MD,2008,78067.98999999999
MD,2009,80455.15
MD,2010,99676.12
MD,2011,119934.70000000001
MD,2012,128532.53
MD,2013,150409.74
MD,2014,169797.03
MD,2015,195823.31
MD,2016,201781.92
MD,2017,207397.74000000002
MD,2018,322363.9
MD,2019,407984.5
ME,2008,124561.96999999999
ME,2009,127199.43000000001
ME,2010,153625.63
ME,2011,199224.37
ME,2012,228814.81
ME,2013,241521.54
ME,2014,255640.85
ME,2015,269120.17000000004
ME,2016,284716.99
ME,2017,279597.58
ME,2018,230410.47
ME,2019,221094.21000000002
MI,2008,179731.46000000002
MI,2009,213342.23
MI,2010,271135.95
MI,2011,370620.74
MI,2012,495463.27999999997
MI,2013,528592.83
MI,2014,748711.49
MI,2015,928691.38
MI,2016,1061074.24
MI,2017,1255769.21
MI,2018,1387343.27
MI,2019,1428445.33
MN,2008,294583.56
MN,2009,296580.23000000004
MN,2010,300340.98
MN,2011,369906.81
MN,2012,359990.48
MN,2013,398404.77
MN,2014,453098.64
MN,2015,504622.45999999996
MN,2016,515723.83
MN,2017,552132.01
MN,2018,679958.64
MN,2019,1637378.68
MO,2008,15666713.71
MO,2009,14825536.84
MO,2010,13651924.27
MO,2011,13411890.25
MO,2012,13842109.33
MO,2013,13541336.020000001
MO,2014,13272023
MO,2015,13393356.879999999
MO,2016,13508905.49
MO,2017,12979009.870000001
MO,2018,12723022.370000001
MO,2019,12169102.06
MS,2008,NA
MS,2009,7112.450000000001
MS,2010,10459.79
MS,2011,13517.58
MS,2012,14573.710000000001
MS,2013,16951.22
MS,2014,21136.059999999998
MS,2015,23990.35
MS,2016,20197.61
MS,2017,20171.73
MS,2018,20917.81
MS,2019,21448.74
MT,2008,70886.51999999999
MT,2009,73975.47
MT,2010,86880.16
MT,2011,101221.28
MT,2012,108485.36
MT,2013,114920.20999999999
MT,2014,129535.15000000001
MT,2015,150795.77
MT,2016,146793.13
MT,2017,151180.16999999998
MT,2018,148720.96
MT,2019,149062.5
NC,2008,7566564.64
NC,2009,7911036.069999999
NC,2010,7867825.83
NC,2011,7632201.57
NC,2012,7808382.319999999
NC,2013,7525923.51
NC,2014,7301947.41
NC,2015,7384627.16
NC,2016,4057075.1500000004
NC,2017,1292489.72
NC,2018,1414762.67
NC,2019,1505300.12
ND,2008,NA
ND,2009,NA
ND,2010,NA
ND,2011,NA
ND,2012,NA
ND,2013,2098.23
ND,2014,5311.889999999999
ND,2015,7670.219999999999
ND,2016,5449.08
ND,2017,9987.04
ND,2018,7265.21
ND,2019,10401.34
NE,2008,9243.65
NE,2009,11674.58
NE,2010,16031.29
NE,2011,18998.23
NE,2012,19621.8
NE,2013,12306.42
NE,2014,30142.8
NE,2015,27554.47
NE,2016,38149.64
NE,2017,44842.65
NE,2018,48316.06
NE,2019,48426.08
NH,2008,3122250.3000000003
NH,2009,3161261.8
NH,2010,3231805.67
NH,2011,3104854.52
NH,2012,3299032.03
NH,2013,3242271.27
NH,2014,3119578.6799999997
NH,2015,3212845.49
NH,2016,3171750.6
NH,2017,3065824.9699999997
NH,2018,2912641.8000000003
NH,2019,2596471.07
NJ,2008,7094891.91
NJ,2009,7014532.57
NJ,2010,7470907.4799999995
NJ,2011,6473745.7700000005
NJ,2012,5081018.95
NJ,2013,4713115.71
NJ,2014,4770147.09
NJ,2015,3663908.7600000002
NJ,2016,3072114.2800000003
NJ,2017,2858554.37
NJ,2018,3201610.8899999997
NJ,2019,2914036.5999999996
NM,2008,17676.37
NM,2009,23053.16
NM,2010,29747.480000000003
NM,2011,38113.77
NM,2012,43842.92
NM,2013,47073.31
NM,2014,61494.17
NM,2015,70861.52
NM,2016,71724.70999999999
NM,2017,91738.38
NM,2018,107181.42000000001
NM,2019,119299.93
NV,2008,30497.2
NV,2009,28687.4
NV,2010,31300.11
NV,2011,25481.58
NV,2012,23972.83
NV,2013,24876.81
NV,2014,30642.09
NV,2015,32888.619999999995
NV,2016,32214.58
NV,2017,33662.72
NV,2018,41588.78
NV,2019,53512.119999999995
NY,2008,7759158.01
NY,2009,6969968.51
NY,2010,6971749.68
NY,2011,6398720.649999999
NY,2012,7519018.109999999
NY,2013,7865985.68
NY,2014,7384877.510000001
NY,2015,7852161.17
NY,2016,8180227.63
NY,2017,8107417.36
NY,2018,8007847.28
NY,2019,8321345.32
OH,2008,19731990.02
OH,2009,19823854.17
OH,2010,20314244.66
OH,2011,20208667.959999997
OH,2012,19119681.66
OH,2013,18384639.73
OH,2014,18701264.709999997
OH,2015,19718831.139999997
OH,2016,19638546.060000002
OH,2017,19196084.74
OH,2018,17660570.39
OH,2019,17676963.51
OK,2008,5242.08
OK,2009,7484.8099999999995
OK,2010,8913.3
OK,2011,9972.98
OK,2012,10732.39
OK,2013,10363.48
OK,2014,14190.27
OK,2015,21460.78
OK,2016,23765.14
OK,2017,24363.57
OK,2018,18057.84
OK,2019,22839.86
OR,2008,847102.63
OR,2009,930507.46
OR,2010,1028220.51
OR,2011,1162770.3
OR,2012,1258480.56
OR,2013,1390463.92
OR,2014,1549637.24
OR,2015,1666770.46
OR,2016,1712249.53
OR,2017,1793901.56
OR,2018,1516574.99
OR,2019,1441887.18
PA,2008,3031892.75
PA,2009,3240149.1100000003
PA,2010,3710529.1
PA,2011,4241735.34
PA,2012,4613268.62
PA,2013,5210510.58
PA,2014,5521786.71
PA,2015,5341730.46
PA,2016,4945013.04
PA,2017,4653391.26
PA,2018,5110453.77
PA,2019,6087834.4
RI,2008,3365.31
RI,2009,3198.41
RI,2010,5638.28
RI,2011,5964.3099999999995
RI,2012,6842.13
RI,2013,10186.52
RI,2014,10487.74
RI,2015,10523.98
RI,2016,15602.89
RI,2017,31730.8
RI,2018,63573
RI,2019,86323.54000000001
SC,2008,12920.17
SC,2009,13827.27
SC,2010,16997.09
SC,2011,25578.92
SC,2012,31640.190000000002
SC,2013,38540.72
SC,2014,44105.630000000005
SC,2015,55140.17
SC,2016,64297.41
SC,2017,72444.13
SC,2018,72273.22
SC,2019,85051.02
SD,2008,NA
SD,2009,NA
SD,2010,1870.2199999999998
SD,2011,2486.65
SD,2012,2914.65
SD,2013,3447.7
SD,2014,4083.67
SD,2015,5166.110000000001
SD,2016,6759.85
SD,2017,11035.22
SD,2018,12104.58
SD,2019,12997.48
TN,2008,22539.97
TN,2009,23058.52
TN,2010,26734.55
TN,2011,28351.16
TN,2012,418767.71
TN,2013,602069.79
TN,2014,766656.1699999999
TN,2015,1179493.48
TN,2016,1224388.12
TN,2017,1411396.04
TN,2018,1862145.4300000002
TN,2019,2736039.25
TX,2008,19775713.19
TX,2009,20161027.63
TX,2010,20139848.07
TX,2011,20097795.6
TX,2012,19094530.419999998
TX,2013,19420798.64
TX,2014,19911750.64
TX,2015,19251114.900000002
TX,2016,19757170.27
TX,2017,19311603.51
TX,2018,18219321.08
TX,2019,18187258.360000003
UT,2008,55864.65
UT,2009,54471.86
UT,2010,63103.11
UT,2011,80264.23
UT,2012,109858.94
UT,2013,130191.72
UT,2014,158911.15
UT,2015,176776.43
UT,2016,185172.22999999998
UT,2017,189032.34
UT,2018,172205.88
UT,2019,151207.03
VA,2008,15520689.97
VA,2009,14670255.24
VA,2010,13974504.62
VA,2011,13709452.53
VA,2012,14594255.87
VA,2013,14038364.37
VA,2014,13320192.09
VA,2015,12244671.99
VA,2016,12533844.77
VA,2017,14256887.72
VA,2018,13724485.65
VA,2019,14179375.65
VT,2008,293983.25
VT,2009,307221.74
VT,2010,357319.79
VT,2011,384472.42000000004
VT,2012,374337.29
VT,2013,372976.42
VT,2014,354325.76
VT,2015,364597.51
VT,2016,301825.06
VT,2017,294244.2
VT,2018,273772.92
VT,2019,271189.7
WA,2008,313106.04
WA,2009,299050.86
WA,2010,344398.8
WA,2011,358348.2
WA,2012,374410.41
WA,2013,418246.64
WA,2014,456539.56
WA,2015,500213.57
WA,2016,470084.02
WA,2017,462373.4
WA,2018,518586.7
WA,2019,541354.1799999999
WI,2008,8257468.16
WI,2009,10301698.61
WI,2010,11387276.399999999
WI,2011,10003428.51
WI,2012,9941958.41
WI,2013,10129311.33
WI,2014,10184621.469999999
WI,2015,10062765.200000001
WI,2016,10208869.65
WI,2017,10352230.520000001
WI,2018,10344731.23
WI,2019,9227544.68
WV,2008,3541.32
WV,2009,2537.4700000000003
WV,2010,3159.13
WV,2011,3385.31
WV,2012,3739.84
WV,2013,5035.6
WV,2014,5624.58
WV,2015,10354.63
WV,2016,10642.57
WV,2017,11797.94
WV,2018,10551.91
WV,2019,12333.28
WY,2008,6791.700000000001
WY,2009,6860.04
WY,2010,8183.48
WY,2011,10150.63
WY,2012,11860.53
WY,2013,13516.76
WY,2014,13960.189999999999
WY,2015,18484.84
WY,2016,29645.23
WY,2017,42920.22
WY,2018,43158.69
WY,2019,45799.84
